"id","name","alias","address","zipcode","location","state","country","founded","phone","fax","email","website","president","manager","logo_big","logo_middle","logo_small","standard_playground","notes","extended","ordering","checked_out","checked_out_time","modified","modified_by","dissolved","asset_id"
33,"BEŞİKTAŞ","besiktas","","","İSTANBUL","","TUR",,"","","","","","","images/com_joomleague/database/clubs/large/large_bjk.png","images/com_joomleague/database/clubs/medium/medium_bjk.png","images/com_joomleague/database/clubs/small/small_bjk.png",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",11,0,0000-00-00 00:00:00,2018-11-10 11:40:46,232,,1
34,"KOZA WOS SPOR","koza-wos-spor","","","İSTANBUL","","TUR",,"","","","","","","images/com_joomleague/database/clubs/large/large_koza-wos.png","images/com_joomleague/database/clubs/medium/medium_koza-wos.jpg","images/com_joomleague/database/clubs/small/small_koza-wos.png",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",44,0,0000-00-00 00:00:00,2019-02-08 13:40:32,854,,2
35,"FENERBAHÇE","fenerbahce","","","İSTANBUL","","TUR",,"","","","","","","images/com_joomleague/database/clubs/large/large_fenerbahce.png","images/com_joomleague/database/clubs/medium/medium_fenerbahce.png","images/com_joomleague/database/clubs/small/small_fenerbahce.png",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",26,0,0000-00-00 00:00:00,2018-11-11 20:58:08,232,,3
36,"İSTANBUL BB","istanbul-bb","","","İSTANBUL","","TUR","","","","","","","","images/com_joomleague/database/clubs/large/large_ibb_.png","images/com_joomleague/database/clubs/medium/medium_ibb.png","images/com_joomleague/database/clubs/small/small_ibb.png",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",36,0,0000-00-00 00:00:00,2023-12-02 14:39:09,485,"",6742
37,"TÜRK TELEKOM","turk-telekom","","","ANKARA","","TUR","","","","","","","","images/com_joomleague/database/clubs/large/large_turktelekom.png","images/com_joomleague/database/clubs/medium/medium_turk_telekom.png","images/com_joomleague/database/clubs/small/small_turk_telekom.png",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",59,0,0000-00-00 00:00:00,2022-04-21 17:33:23,485,"",138
38,"SARKUYSAN","sarkuysan","","","KOCAELİ","","TUR",,"","","","","","","images/com_joomleague/database/clubs/large/large_sarkuysan.png","images/com_joomleague/database/clubs/medium/medium_sarkuysan.png","images/com_joomleague/database/clubs/small/small_sarkuysan.png",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",52,0,0000-00-00 00:00:00,2018-11-11 20:56:48,232,,6
39,"GAZİOSMANPAŞA BLD","gop","","","İSTANBUL","","TUR",,"","","","","","","images/com_joomleague/database/clubs/large/large_gaziosmanpasa-bld.png","images/com_joomleague/database/clubs/medium/medium_gaziosmanpasa-bld.png","images/com_joomleague/database/clubs/small/small_gaziosmanpasa-bld.png",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",29,0,0000-00-00 00:00:00,2018-11-11 20:54:55,232,,7
40,"DİVAPAN","divapan","","","DÜZCE","","TUR",,"","","","","","","images/com_joomleague/database/clubs/large/large_divapan.png","images/com_joomleague/database/clubs/medium/medium_divapan.png","images/com_joomleague/database/clubs/small/small_divapan.png",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",22,0,0000-00-00 00:00:00,2018-11-10 11:38:24,232,,8
41,"BEYLİKDÜZÜ MTİ","beyluekduzu-mti","","","İSTANBUL","","TUR",,"","","","","","","images/com_joomleague/database/clubs/large/large_beylikduzu-mti.png","images/com_joomleague/database/clubs/medium/medium_beylikduzu-mti.png","images/com_joomleague/database/clubs/small/small_beylikduzu-mti.png",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",12,0,0000-00-00 00:00:00,2018-12-18 11:04:31,232,,9
42,"YALOVA BELEDİYESİ","yalova-belediyesi","","","YALOVA","","TUR",,"","","","","","","images/com_joomleague/database/clubs/large/large_yalova-belediyesi.png","images/com_joomleague/database/clubs/medium/medium_yalova-belediyesi.png","images/com_joomleague/database/clubs/small/small_yalova-belediyesi.png",0,"","{""COM_JOOMLEAGUE_EXT_CLUB_YOUTHMANAGER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_YOUTHTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_CLUBTREASURER"":"""",""COM_JOOMLEAGUE_EXT_CLUB_SECONDWWW"":""""}",61,0,0000-00-00 00:00:00,2018-12-10 08:18:21,232,,10
