id,name,logo,address,phone,email,website,createdAt,updatedAt
33,BEÞÝKTAÞ,,,,,,,
34,KOZA WOS SPOR,,,,,,,
35,FENERBAHÇE,,,,,,,
36,ÝSTANBUL BB,,,,,,,
37,TÜRK TELEKOM,,,,,,,
38,SARKUYSAN,,,,,,,
39,GAZÝOSMANPAÞA BLD,,,,,,,
40,DÝVAPAN,,,,,,,
41,BEYLÝKDÜZÜ MTÝ,,,,,,,
42,YALOVA BELEDÝYESÝ,,,,,,,
43,ÇUKUROVA ÜNÝVERSÝTESÝ,,,,,,,
44,TENÝS ESKRÝM DAÐCILIK,,,,,,,
45,GÝRNE AMERÝKAN ÜNÝV.,,,,,,,
46,ALTINORDU,,,,,,,
47,ANTALYA B.ÞEHÝR BLD. ASAT GSK,,,,,,,
48,MALATYA B. ÞEHÝR BLD,,,,,,,
49,SÝSTEM REKLAM,,,,,,,
50,ÝSTANBUL KUPASI,,,,,,,
51,BURSASPOR,,,,,,,
52,ÞAHÝNBEY BELEDÝYESÝ,,,,,,,
53,EXPOTÝM,,,,,,,
54,ADANA MTÝ,,,,,,,
55,ALTAY,,,,,,,
56,ANTALYASPOR,,,,,,,
57,ANKARA B. ÞEHÝR BELEDÝYESÝ,,,,,,,
58,BEDENSEL ENGELLÝLER MTD,,,,,,,
59,BEYOÐLUSPOR,,,,,,,
60,BURSA BB,,,,,,,
61,FENERBAHÇE VMTD,,,,,,,
62,KOCASÝNAN BELEDÝYESÝ,,,,,,,
63,KONYA BAROSU,,,,,,,
64,ÇORUM SPOR ÝHTÝSAS GSK,,,,,,,
65,VETERAN MTD,,,,,,,
66,YILDIRIM SPOR,,,,,,,
67,BTL. GENÇLÝK SPOR,,,,,,,
68,BU PÝLÝÇ SPOR,,,,,,,
69,ÇANKAYA ÜNÝVERSÝTESÝ,,,,,,,
70,ETÝMESGUT BLD,,,,,,,
71,FMV IÞIKSPOR,,,,,,,
72,GÝRNE SPOR BÝRLÝÐÝ,,,,,,,
73,GRS. GENÇLÝK SPOR,,,,,,,
74,HAYDAR SPOR,,,,,,,
75,ÝSTANBUL VMT,,,,,,,
76,ÝZMÝR B.ÞEHÝR BLD,,,,,,,
77,KOCAELÝ B.ÞEHÝR BLD,,,,,,,
78,KON-TEK SPOR,,,,,,,
79,MALATYA YEÞÝLYURT BLD,,,,,,,
80,MUÐLA SPOR,,,,,,,
81,AKKA OKULLARI,,,,,,,
82,ATAKUM BLD. SPOR,,,,,,,
83,BALIKESÝR BB. SPOR,,,,,,,
84,ÇORUM BELEDÝYESÝ GSK,,,,,,,
85,DENÝZLÝ SPOR,,,,,,,
86,ENÝS ÖZEL GSK,,,,,,,
87,ISPARTES GSK,,,,,,,
88,ÝKEM KOLEJ SPOR,,,,,,,
89,LEFKE AVRUPA ÜNÝV.,,,,,,,
90,LÝN UN MTÝ,,,,,,,
91,MARGENÇ SPOR,,,,,,,
92,TOKAT BELEDÝYESÝ,,,,,,,
93,TRABZON SPOR,,,,,,,
94,ZONGULDAK ÖZEL ÝDARE YOL,,,,,,,
95,ÖZEL SPORCULAR,,,,,,,
96,ÝSKENDERUN VMT,,,,,,,
97,ANKA SPOR,,,,,,,
98,ASP GENÇLÝK VE SPOR KULÜBÜ,,,,,,,
99,HAZER SPOR,,,,,,,
100,DSÝ,,,,,,,
101,KUBUÞ BOYLERSAN MTÝ,,,,,,,
102,REAL MARDÝN,,,,,,,
103,SAMSUN MAARÝF KOL. VE AND.LÝS.,,,,,,,
104,SAMSUN VMTD,,,,,,,
105,ESKÝÞEHÝR ASP GSK,,,,,,,
106,AKHÝSAR GENÇLERBÝRLÝÐÝ,,,,,,,
107,BATMAN BELEDÝYESÝ,,,,,,,
108,BATMAN GENÇLÝK SPOR,,,,,,,
109,BATMAN ÖZEL ÝDARE,,,,,,,
110,BEÞÝKDÜZÜ YELKEN KULÜBÜ,,,,,,,
111,BÜYÜK KOLEJ,,,,,,,
112,ÇALIK YEÞÝLIRMAK EDAÞ,,,,,,,
113,ÇORUM GENÇLÝK SPOR,,,,,,,
115,ELAZIÐ BELEDÝYESÝ,,,,,,,
116,ELAZIÐ GENÇLÝK SPOR,,,,,,,
117,ELAZIÐ MASA TENÝSÝ ÝHTÝSAS,,,,,,,
118,FATÝH SPOR,,,,,,,
119,HAKKARÝ GENÇLÝK SPOR,,,,,,,
120,HATAY ASP SPOR,,,,,,,
121,HDÝ SÝGORTA,,,,,,,
122,KAHRAMANMARAÞ GENÇLÝK SPOR,,,,,,,
123,KIRÞEHÝR BELEDÝYESÝ,,,,,,,
124,KKTC KÜLTÜR DAYANIÞMA,,,,,,,
125,MASA DER,,,,,,,
126,MKE ANKARAGÜCÜ,,,,,,,
127,MODA SPOR,,,,,,,
128,MUÐLA B. ÞEHÝR BELEDÝYESÝ,,,,,,,
129,VAN GENÇLÝK SPOR,,,,,,,
130,ÖZEL ÝDARE,,,,,,,
131,PENDÝK BELEDÝYESÝ,,,,,,,
132,POYRAZ GENÇLÝK SPOR,,,,,,,
133,SALÝHLÝ BELEDÝYESÝ,,,,,,,
134,SERAMÝK SPOR,,,,,,,
135,SÝVAS GENÇLÝK SPOR,,,,,,,
136,SPOR AÞ GENÇLÝK ve SPOR,,,,,,,
137,ÞEHÝT HAKAN KABÝL,,,,,,,
138,TAN HALK OYUNLARI GSK,,,,,,,
139,TÝGEM  SPOR,,,,,,,
140,TRABZON ÝMKB KTML,,,,,,,
141,TURHAL YENÝ BELEDÝYESÝ,,,,,,,
142,YENÝHAYAT PARALÝMPÝK SPOR,,,,,,,
143,YENÝMAHALLE BELEDÝYESÝ,,,,,,,
144,ÝRAN MÝLLÝ TAKIMI,,,,,,,
145,1881 DÜZCE B. SPOR,,,,,,,
146,KBS MTD SK,,,,,,,
147,BODVED,,,,,,,
148,AYDIN GENÇLÝK HÝZMETLERÝ SPOR,,,,,,,
149,ÇERKEZKÖY BELEDÝYESÝ,,,,,,,
150,DARÜÞÞAFAKA,,,,,,,
151,VAKFIKEBÝR 14 ÞUBAT,,,,,,,
152,KASTAMONU MTSK,,,,,,,
153,Av. MAHMUT DÜÞÜN MTAL GSK,,,,,,,
154, BARTIN BLD. SPOR,,,,,,,
155, KAHRAMANMARAÞ KANO YELKEN IHTÝSAS,,,,,,,
156,KIRKLARELÝ GENÇLÝKSPOR,,,,,,,
157,ÞAFAKTEPE GSK,,,,,,,
158,GLOBAL SPOR,,,,,,,
159,TOFAÞ,,,,,,,
160,YAKIN DOÐU ÜNÝVERSÝTESÝ,,,,,,,
161,AKTÝF SPOR,,,,,,,
162,KONYA GENÇLÝK SPOR,,,,,,,
163,YAVUZ SELÝM Ý.Ö.O,,,,,,,
164,HÝZMET-DER,,,,,,,
165,ERZURUM GENÇLÝK SPOR,,,,,,,
166,1957 ESPÝYE SPOR,,,,,,,
167,MARMARA GÜCÜ,,,,,,,
168,EÜAÞ,,,,,,,
169,BURÇ GENÇLÝK SPOR,,,,,,,
170,AMASYA BELEDÝYESÝ,,,,,,,
171,KEÇÝÖREN BAÐLUM SPOR,,,,,,,
172,SAKARYA MTÝ,,,,,,,
173,TRAKER SPOR,,,,,,,
174,ANAFEN KOLEJ SPOR,,,,,,,
175,BAHÇEÞEHÝR AKPINAR SPOR,,,,,,,
176,POLÝS AKADEMÝSÝ,,,,,,,
177,TARIM SPOR,,,,,,,
178,ARTVÝN 7 MART SPOR,,,,,,,
179,MAK-SAN OTOMOTÝV SPOR,,,,,,,
180,ARIKÖY SPOR,,,,,,,
181,TRABZON BÜYÜKÞEHÝR BELEDÝYESÝ,,,,,,,
182,ISPARTA GENÇ HAREKET GSK,,,,,,,
183,NÝZÝP HOKEY TEKKESÝ SPOR,,,,,,,
184,SELÇUKLU BLD. SPOR,,,,,,,
185,TOKAT GENÇLÝK VE SPOR,,,,,,,
186,KARÝYER-DER,,,,,,,
187,BANDIRMA MTÝ,,,,,,,
188,BANDIRMA ONYEDÝ EYLÜL ÜNÝV.,,,,,,,
189,HAYAT GENÇLÝK VE SPOR,,,,,,,
190,ÝZVET,,,,,,,
191,MERSÝN AKADEMÝA Anadolu Lisesi,,,,,,,
192,ONÝKÝÞUBAT NF SPOR,,,,,,,
193,SÜLEYMAN DEMÝREL ÜNÝVERSÝTESÝ,,,,,,,
